Sample_ID,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,SiO2_Opx,TiO2_Opx,Al2O3_Opx,FeOt_Opx,MnO_Opx,MgO_Opx,CaO_Opx,Na2O_Opx,K2O_Opx,Cr2O3_Opx,P_GPa,T_K
Sample 1,52.3,0.7,3,5.1,0.11,16.6,21.5,0.33,0,0.58,55,0.34,1.5,11.3,0.24,30.7,0.9,0.01,0,0.19,0.5,1273.15
Sample 2,51.7,0.28,8.38,6.69,0.15,21.4,11.7,0.64,0,0.05,52.7,0.15,8.1,8.48,0.14,29.4,2.14,0.14,0,0,0.5,1273.15
Sample 3,51.5,0.45,8.1,6.96,0.17,20.3,12.6,0.56,0,0.09,53.2,0.2,7.4,8.8,0.13,29.2,2.37,0.14,0,0.02,0.5,1273.15
Sample 4,51.06,0.62,3.16,6.18,0.12,15.78,20.82,0.27,0,0.01,55.15,0.17,1.19,10.21,0.22,29.99,1.66,0.03,0,0.15,0.5,1273.15
Sample 5,53.32,0.48,2.25,5.92,0.15,16.91,20.73,0.28,0,0.12,56.32,0.13,1.41,10.17,0.26,30.88,1.05,0.02,0,0.16,0.5,1273.15
Sample 6,51.58,0,7.28,3.75,0,19.55,15.94,0.7,0,1.2,54.4,0,5.4,5.9,0,31.2,2.3,0.2,0,0.6,0.5,1273.15
Sample 7,51.12,0.1,8.07,3.57,0,17.95,17.26,0.77,0,1.16,54.1,0,5.7,6.3,0,31.5,1.65,0.25,0,0.5,0.5,1273.15
Sample 8,52.5,0,5.19,4.12,0,21.28,15.45,0,0,1.45,55.2,0,3.3,5.6,0,32.7,2,0,0,1.3,0.5,1273.15
Sample 9,51.8,0.17,5.1,4.6,0.19,21.5,14.9,0.21,0,1.58,54.1,0.09,4.2,5.9,0.21,31.3,2.9,0.04,0,1.32,0.5,1273.15
Sample 10,51.67,0.16,5.62,4.45,0.16,21.82,14.34,0.22,0,1.56,54.2,0.06,4.3,5.66,0.19,31.6,2.68,0.04,0,1.3,0.5,1273.15
Sample 11,53,0.11,4.5,5.1,0.2,24.7,10.9,0.16,0,1.5,54.5,0.09,3.9,5.8,0.19,31.6,2.7,0.08,0,1.3,0.5,1273.15
Sample 12,51.64,0.38,8.16,3.97,0,19.66,14.85,0.66,0,0.75,53.3,0.16,7.5,5.4,0,30.6,2.3,0,0,0.76,0.5,1273.15
Sample 13,51.3,0.19,7.2,3.9,0.09,17.6,19.1,0.5,0,0.5,52.9,0.09,6.9,6.72,0.12,30.6,1.63,0.07,0,0.5,0.5,1273.15
Sample 14,52.4,0.14,6,4.1,0.08,19.4,17.6,0.49,0,0.9,55,0.09,6,6.4,0.13,31.2,1.7,0.05,0,0.8,0.5,1273.15
Sample 15,52,0.14,9.39,4.89,0.06,20.8,13.3,0.69,0,0.09,54,0.06,8.26,6.13,0.04,30.5,2.18,0.15,0,0.06,0.5,1273.15
Sample 16,52.9,0.35,7.4,5.2,0.17,23.1,11.6,0.55,0,0.12,54.9,0.17,6.22,6.03,0.15,31.7,2.46,0.14,0,0.1,0.5,1273.15
Sample 17,51.3,0.53,9.15,7.15,0.19,20.6,10.8,0.93,0,0.08,52.3,0.38,8.16,9.23,0.15,20.6,2.16,0.23,0,0.06,0.5,1273.15
Sample 18,51.5,0.49,8.97,6.53,0.18,20.9,11.1,0.74,0,0.08,52.6,0.28,8.6,7.91,0.12,29.5,2.11,0.15,0,0,0.5,1273.15
Sample 19,50.93,0.81,9.02,5.82,0,18.51,13.34,1.23,0,0.34,52.95,0.52,7.43,8.01,0,28.72,1.93,0.27,0,0.16,0.5,1273.15
Sample 20,51.63,0.4,8.59,6.96,0,21.39,9.76,0.97,0,0.29,52.92,0.23,7.39,8.21,0,28.47,2.22,0.32,0,0.24,0.5,1273.15
Sample 21,51.39,0.83,9.38,7.57,0,19.55,9.49,1.64,0,0.15,52.41,0.5,7.66,9.67,0,27.3,1.83,0.54,0,0.09,0.5,1273.15
Sample 22,52.98,0.14,5.04,3.48,0.11,19.61,17.76,0.23,0,1.36,56.89,0.04,3.19,5.48,0.1,33.72,1.05,0,0,0.84,0.5,1273.15
Sample 23,53.77,0.11,4.31,3.6,0.11,20.51,16.95,0.23,0,1.51,56.66,0.05,3.47,5.4,0.12,32.82,1.56,0.04,0,0.94,0.5,1273.15
