Sample_ID,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,P_kbar,Temperature_C,Latitude,SiO2_Ol,TiO2_Ol,Al2O3_Ol,FeOt_Ol,MnO_Ol,MgO_Ol,CaO_Ol,Cr2O3_Ol
Liquid 1,57.02360153,0.623106003,16.33289909,4.361740112,0.103850998,4.191800117,6.948579788,3.597019911,0.896894991,0,0.226584002,5.590000153,0.2,2,1000,32,40.5,0.02,0.08,12.4,0.17,47.4,0.3,0.03
Liquid 2,57.65859985,0.654150009,17.19479942,3.906209946,0.084105,2.868920088,5.915380001,3.859479904,1.018599987,0,0.214935005,6.550000191,0.2,3,1050,33,41.3,0.03,0.11,9.59,0.14,50.2,0.31,0
Liquid 3,60.73120117,0.86205399,17.14419937,4.077809811,0.077487998,2.508670092,5.220749855,4.455560207,1.414160013,0,0.319638014,3.140000105,0.2,5,1100,34,39.7,0.05,0.11,15.6,0.18,44.5,0.31,0.03
Liquid 4,61.53279877,0.440860003,16.50880051,3.329900026,0.037519999,1.641499996,4.342939854,4.408599854,1.406999946,0,0.215739995,6.199999809,0.2,5,1100,35,40.5,0.05,0.1,13.2,0.18,46.8,0.29,0.02
Liquid 5,52.96910095,0.80341202,17.56299973,5.932169914,0.149471998,3.78350997,7.651100159,3.802190065,0.551177979,0.037368,0.196181998,6.579999924,0.2,5,1100,36,40.5,0,0.1,9.41,0.1,49.3,0.31,0
Liquid 6,54.05020142,0.857348025,17.33329964,5.600719929,0.186379999,3.270970106,6.812190056,4.305379868,0.596415997,0.027957,0.195699006,6.809999943,0.2,5,1100,37,40.5,0.02,0.1,10.6,0.15,48.5,0.34,0.02
Liquid 7,55.65629959,0.897984028,17.11779976,5.31306982,0.130955994,2.67524004,5.864960194,4.864079952,0.701550007,0.065477997,0.215141997,6.460000038,0.2,5,1100,38,40.2,0.04,0.22,15.3,0.15,44.6,0.41,0.02
Liquid 8,49.05469894,0.488831997,14.66499996,5.831679821,0.120063998,4.270850182,7.589759827,1.037700057,0.248704001,0.008576,0,14.23999977,0.2,5,1100,39,39.6,0.04,0.06,18.7,0.19,42.3,0.33,0
Liquid 9,50.62509918,0.334073991,16.875,5.019680023,0.119924001,3.160850048,7.041250229,1.918779969,0.616752028,0.034263998,0,14.34000015,0.2,5,1100,40,39.8,0.05,0.06,17.2,0.22,43.1,0.38,0
Liquid 10,51.40330124,0.663879991,18.01959991,5.984399796,0.14226,5.34897995,9.768520355,3.072819948,0.407811999,0.009484,0,5.159999847,0.2,5,1100,41,39.7,0.03,0.06,16.9,0.2,44,0.33,0
