Sample_ID,SiO2_Kspar,Al2O3_Kspar,FeOt_Kspar,MgO_Kspar,CaO_Kspar,Na2O_Kspar,K2O_Kspar,SiO2_Plag,Al2O3_Plag,FeOt_Plag,MgO_Plag,CaO_Plag,Na2O_Plag,K2O_Plag,P_GPa
pair1,65,19.1,0.11,0.03,0.51,2.02,13.4,56.3,31.4,0.31,0.05,14.6,2.7,0.71,1
pair2,65.5,19.6,0.07,0,0.75,4.81,9.36,60.5,24.8,0.07,0,5.92,7.36,1.42,1
pair3,65.4,19.4,0.05,0,0.59,3.13,11.5,57.8,26.7,0.08,0,8.06,6.08,1.13,2
pair4,64.6,18.8,0.09,0,0.39,1.15,14.8,46.2,33.5,0.31,0,17.4,1.22,0.3,1
pair5,61.8,19.2,0.51,0.03,0.66,1.71,12.9,50.3,31.1,0.54,0.06,14.5,2.76,0.79,1
pair6,65.1,19.2,0.05,0,0.36,2.87,12.6,60.6,24.7,0.05,0,5.49,7.32,1.52,1
pair7,65,19.2,0,0,0.35,2.51,12.8,59.1,25.9,0.06,0,6.94,6.78,1.13,2
pair8,64.9,19.3,0.06,0.03,0.29,2.3,13.3,59,26.3,0.05,0.03,7.68,6.84,1.09,3
pair9,64.9,18.6,0,0,0.17,3.02,12.1,63.4,23.1,0,0,4.38,8.44,1.01,4
pair10,66,18.9,0.05,0,0.18,3.73,11.3,64.9,22.1,0.07,0,3.25,9.18,1.15,1
pair11,66,19.2,0,0,0.18,4.31,10.4,66.1,20.8,0.15,0,0.97,8.44,3.78,1
pair12,65.5,18.9,0.11,0.04,0.17,2.58,12.5,63.8,23.2,0.09,0,4.23,8.42,1.38,1
pair13,65.3,18.9,0,0,0.2,3.54,10.9,64.9,21.7,0,0,2.78,9.28,1.19,1
pair14,66.4,18.8,0.12,0,0.25,3.57,11.3,64.9,22.1,0.14,0,3.18,9.07,1.21,1
pair15,66,18.7,0,0,0.14,2.48,12.7,63.5,23.1,0,0,4.23,8.26,1.09,1
pair16,65.9,18.6,0.11,0,0.1,2.54,12.7,64.7,22.3,0.06,0,3.41,8.69,1.03,1
